Age_ka_BP,Age_cal_BP,Normal,Age_zone,zone,Pollen_zone
-0.04806,-48.06,60.3,1.7922,0,PA-7
0.01108,11.08,76.5,3.9775,0,PA-6b
0.13046,130.46,82.8,4.5506,0,PA-6a
0.25309,253.09,60.6,5.2834,0,PA-5
0.36693,366.93,66.8,7.901,0,PA-4
0.47615,476.15,64.4,10.9037,0,PA-3
0.59167,591.67,81.3,11.3306,0,PA-2c
0.65336,653.36,51.5,12.0341,0,PA-2b
0.7715,771.5,6.9,13.8865,0,PA-2a
0.89001,890.01,77,15.7657,0,PA-1
1.00962,1009.62,76.9,,,
1.12617,1126.17,80.5,,,
1.22842,1228.42,50.2,,,
1.31965,1319.65,76.6,,,
1.44606,1446.06,80.7,,,
1.55769,1557.69,71.4,,,
1.67449,1674.49,74.6,,,
1.74795,1747.95,87.3,,,
1.83645,1836.45,75.8,,,
1.92496,1924.96,65.9,,,
2.02524,2025.24,43.4,,,
2.12552,2125.52,64.3,,,
2.23539,2235.39,64.1,,,
2.35486,2354.86,64.3,,,
2.47433,2474.33,51.8,,,
2.56999,2569.99,62.7,,,
2.66565,2665.65,59.7,,,
2.75545,2755.45,57.6,,,
2.83939,2839.39,80.1,,,
2.92332,2923.32,37.1,,,
3.03353,3033.53,63.1,,,
3.14373,3143.73,66.9,,,
3.24165,3241.65,57.2,,,
3.32729,3327.29,66.9,,,
3.41292,3412.92,68.5,,,
3.51562,3515.62,51.4,,,
3.61831,3618.31,74.8,,,
3.72074,3720.74,52.1,,,
3.82292,3822.92,54.1,,,
3.9251,3925.1,78.5,,,
4.02995,4029.95,74.8,,,
4.13479,4134.79,56.5,,,
4.20972,4209.72,59.9,,,
4.29972,4299.72,75.9,,,
4.38973,4389.73,50.4,,,
4.48142,4481.42,71.3,,,
4.52755,4527.55,66.5,,,
4.57367,4573.67,49.4,,,
4.6198,4619.8,32.2,,,
4.67142,4671.42,27.5,,,
4.72852,4728.52,24.4,,,
4.78563,4785.63,32.1,,,
4.89984,4899.84,34.7,,,
4.95454,4954.54,31.3,,,
5.00684,5006.84,38.3,,,
5.05915,5059.15,38.3,,,
5.11145,5111.45,38.9,,,
5.16375,5163.75,43.4,,,
5.2367,5236.7,43.1,,,
5.33028,5330.28,24.9,,,
5.42386,5423.86,29.8,,,
5.51745,5517.45,34.6,,,
5.61103,5611.03,29.8,,,
5.73347,5733.47,22.4,,,
5.88475,5884.75,27.1,,,
6.03604,6036.04,21.1,,,
6.18732,6187.32,21.6,,,
6.3386,6338.6,11.3,,,
6.49271,6492.71,14,,,
6.64964,6649.64,8.5,,,
6.80657,6806.57,9,,,
6.9635,6963.5,13.4,,,
7.12043,7120.43,25.5,,,
7.2589,7258.9,20.4,,,
7.37893,7378.93,13.8,,,
7.49895,7498.95,9.9,,,
7.55896,7558.96,16.7,,,
7.61898,7618.98,10.5,,,
7.67899,7678.99,10.9,,,
7.739,7739,9.8,,,
7.85002,7850.02,16.5,,,
7.95204,7952.04,19.9,,,
8.00305,8003.05,22.2,,,
8.05406,8054.06,15.3,,,
8.15608,8156.08,10,,,
8.2581,8258.1,17.3,,,
8.35497,8354.97,9.5,,,
8.44668,8446.68,13.2,,,
8.5384,8538.4,14.5,,,
8.63011,8630.11,16.8,,,
8.72183,8721.83,10.2,,,
8.79754,8797.54,13.1,,,
8.8871,8887.1,8.1,,,
8.97666,8976.66,9.4,,,
9.03636,9036.36,9.4,,,
9.10541,9105.41,15.5,,,
9.18381,9183.81,18.1,,,
9.34061,9340.61,15.2,,,
9.41901,9419.01,21.4,,,
9.49071,9490.71,36.9,,,
9.62073,9620.73,29.2,,,
9.68574,9685.74,16.9,,,
9.75075,9750.75,9,,,
9.85355,9853.55,15.2,,,
9.92385,9923.85,12.7,,,
10.01758,10017.58,20.1,,,
10.0961,10096.1,18.7,,,
10.17461,10174.61,17.3,,,
10.24916,10249.16,13,,,
10.31975,10319.75,19,,,
10.39033,10390.33,19.5,,,
10.48577,10485.77,18.7,,,
10.58121,10581.21,12.8,,,
10.66092,10660.92,11.7,,,
10.72488,10724.88,14.6,,,
10.78885,10788.85,24.7,,,
10.86543,10865.43,26.8,,,
10.94201,10942.01,27.6,,,
11.01708,11017.08,19.1,,,
11.09065,11090.65,40.3,,,
11.16422,11164.22,33.2,,,
11.27517,11275.17,23.9,,,
11.38612,11386.12,38.8,,,
11.49773,11497.73,46.2,,,
11.61002,11610.02,39.5,,,
11.7223,11722.3,62.2,,,
11.84704,11847.04,36.6,,,
11.97178,11971.78,63.7,,,
12.11668,12116.68,58.4,,,
12.28174,12281.74,58.9,,,
12.44681,12446.81,55.7,,,
12.59303,12593.03,65.9,,,
12.73925,12739.25,42.1,,,
12.85437,12854.37,62.1,,,
12.93839,12938.39,51.4,,,
13.02241,13022.41,58.1,,,
13.10719,13107.19,46.5,,,
13.19197,13191.97,66.6,,,
13.276,13276,46.3,,,
13.35928,13359.28,65.3,,,
13.44256,13442.56,40.3,,,
13.52056,13520.56,66.6,,,
13.59857,13598.57,50.3,,,
13.67776,13677.76,42.6,,,
13.75812,13758.12,39,,,
13.83849,13838.49,62.1,,,
13.93462,13934.62,40.4,,,
14.03075,14030.75,51.4,,,
14.12747,14127.47,41.3,,,
14.22477,14224.77,58.3,,,
14.32208,14322.08,67.5,,,
14.4172,14417.2,73.2,,,
14.51233,14512.33,74.4,,,
14.60939,14609.39,52.6,,,
14.70839,14708.39,46.8,,,
14.80738,14807.38,26.3,,,
14.88967,14889.67,35.8,,,
14.93081,14930.81,66.7,,,
14.95138,14951.38,38.9,,,
15.02756,15027.56,40.2,,,
15.08546,15085.46,30.7,,,
15.14335,15143.35,42.3,,,
15.20186,15201.86,40.6,,,
15.26058,15260.58,57.4,,,
15.31931,15319.31,38.5,,,
15.37809,15378.09,61.3,,,
15.43688,15436.88,31.7,,,
15.49494,15494.94,56.6,,,
15.55277,15552.77,30.4,,,
15.61498,15614.98,51,,,
15.69039,15690.39,45.8,,,
15.76579,15765.79,36.4,,,